event_date,Armed clash,Shelling/artillery/missile attack,Remote explosive/landmine/IED,Air/drone strike,Disrupted weapons use
7/4/2022,17,40,3,11,0
7/5/2022,11,84,0,12,0
7/6/2022,18,63,1,13,2
7/7/2022,19,112,1,14,1
7/8/2022,11,84,0,11,2
7/9/2022,17,77,2,10,0
7/10/2022,4,94,0,14,0
7/11/2022,9,102,1,18,1
7/12/2022,12,122,0,7,0
7/13/2022,12,133,0,16,2
7/14/2022,12,149,2,14,2
7/15/2022,11,70,3,16,2
7/16/2022,7,118,0,12,2
7/17/2022,12,98,0,17,0
7/18/2022,15,89,1,17,0
7/19/2022,16,81,0,9,1
7/20/2022,15,102,2,25,2
7/21/2022,13,134,0,19,4
7/22/2022,15,110,0,9,0
7/23/2022,7,101,1,7,1
7/24/2022,8,117,1,4,1
7/25/2022,8,110,0,11,0
7/26/2022,10,86,0,14,1
7/27/2022,13,115,1,10,7
7/28/2022,28,141,1,12,4
7/29/2022,14,106,2,12,1
7/30/2022,16,118,3,12,0
7/31/2022,12,124,1,18,0
8/1/2022,10,89,0,21,1
8/2/2022,18,104,0,12,3
8/3/2022,17,169,1,11,4
8/4/2022,22,103,1,20,3
8/5/2022,12,106,0,4,0
8/6/2022,18,118,2,18,2
8/7/2022,19,89,0,19,0
8/8/2022,16,133,0,21,5
8/9/2022,15,98,2,16,1
8/10/2022,19,121,4,14,7
8/11/2022,13,106,0,18,1
8/12/2022,28,97,3,17,1
8/13/2022,17,96,1,15,1
8/14/2022,18,78,1,11,0
8/15/2022,20,106,2,24,3
8/16/2022,14,98,2,12,0
8/17/2022,22,100,4,20,2
8/18/2022,19,151,2,21,1
8/19/2022,19,78,0,14,1
8/20/2022,23,104,2,15,0
8/21/2022,23,73,2,19,3
8/22/2022,14,91,2,13,2
8/23/2022,10,101,0,16,0
8/24/2022,17,122,1,25,5
8/25/2022,12,111,2,19,7
8/26/2022,6,115,2,7,0
8/27/2022,12,96,0,17,1
8/28/2022,9,125,0,12,0
8/29/2022,11,90,0,8,0
8/30/2022,9,110,2,18,1
8/31/2022,16,144,2,11,2
9/1/2022,13,164,0,7,3
9/2/2022,13,112,0,7,0
9/3/2022,18,85,0,10,1
9/4/2022,16,110,0,18,4
9/5/2022,15,91,1,16,5
9/6/2022,16,99,1,18,1
9/7/2022,17,154,2,13,7
9/8/2022,28,151,7,7,5
9/9/2022,20,89,0,12,0
9/10/2022,17,105,0,22,1
9/11/2022,16,109,0,11,3
9/12/2022,8,87,5,3,1
9/13/2022,13,66,2,14,0
9/14/2022,18,137,1,3,2
9/15/2022,17,139,3,3,9
9/16/2022,8,91,3,0,2
9/17/2022,14,114,1,22,1
9/18/2022,9,95,4,17,1
9/19/2022,10,111,3,3,3
9/20/2022,14,110,4,2,1
9/21/2022,14,157,2,3,5
9/22/2022,15,128,4,6,4
9/23/2022,15,90,3,2,2
9/24/2022,22,91,4,25,3
9/25/2022,12,79,0,23,6
9/26/2022,22,77,2,14,1
9/27/2022,14,94,0,13,4
9/28/2022,18,120,3,2,10
9/29/2022,19,155,1,0,7
9/30/2022,9,82,1,8,3
10/1/2022,11,70,1,15,3
10/2/2022,14,67,3,13,1
10/3/2022,16,63,1,0,1
10/4/2022,18,73,0,1,3
10/5/2022,18,128,1,4,9
10/6/2022,24,90,1,3,6
10/7/2022,27,83,1,5,3
10/8/2022,33,91,3,26,3
10/9/2022,21,67,1,20,3
10/10/2022,14,125,1,1,3
10/11/2022,20,81,1,7,5
10/12/2022,23,95,2,3,10
10/13/2022,19,104,2,7,13
10/14/2022,28,68,1,0,2
10/15/2022,21,83,0,20,7
10/16/2022,11,88,1,11,3
10/17/2022,20,75,1,5,8
10/18/2022,22,80,2,3,2
10/19/2022,22,104,2,2,13
10/20/2022,15,84,0,3,5
10/21/2022,21,64,0,3,0
10/22/2022,12,96,1,0,8
10/23/2022,22,78,3,3,4
10/24/2022,29,97,1,0,0
