date_ym,sum(num_comments)
2022-01,228151
2022-02,2381124
2022-03,3340997
2022-04,1487747
2022-05,275973
2022-06,367342
2022-07,441337
2022-08,333714
2022-09,434967
2022-10,804676
2022-11,786035
2022-12,741648
2023-01,656054
