,Total Posts,Total Comments,Controversial Comments,Gilded Comments,Distinguished comments
Live Thread Comments,353,1824577,2.84,0.03,0.05
Russian-Ukraine Conflict Comments (excluding Live Threads),45841,6358941,4.46,0.06,0.1
