date_ym,author,count
2022-01,DoremusJessup,72
2022-02,DoremusJessup,159
2022-03,DoremusJessup,295
2022-04,DoremusJessup,202
2022-05,DoremusJessup,37
2022-06,DoremusJessup,67
2022-07,DoremusJessup,73
2022-08,DoremusJessup,54
2022-09,DoremusJessup,71
2022-10,DoremusJessup,93
2022-11,DoremusJessup,176
2022-12,DoremusJessup,163
2023-01,DoremusJessup,191
