date_ym,count
2022-01,488
2022-02,9436
2022-03,20749
2022-04,9167
2022-05,1794
2022-06,2010
2022-07,1702
2022-08,1199
2022-09,1660
2022-10,4043
2022-11,3455
2022-12,3552
2023-01,3060
