date_ym,over_18,sum(num_comments)
2022-01,False,228017
2022-02,False,2379427
2022-03,False,3339140
2022-04,False,1480808
2022-05,False,275878
2022-06,False,367297
2022-07,False,441085
2022-08,False,333688
2022-09,False,434897
2022-10,False,803797
2022-11,False,783470
2022-12,False,740573
2023-01,False,655916
