date_ym,count
2022-01,4547
2022-02,17980
2022-03,32224
2022-04,19387
2022-05,3791
2022-06,5945
2022-07,6490
2022-08,4603
2022-09,5862
2022-10,11099
2022-11,12100
2022-12,11375
2023-01,10924
