word,TF_IDF_Score
work,46.272743
web,43.213547
fire,41.691288
stream,40.66203
health,39.71181
cool,39.39438
jika,39.08034
bot,38.913662
pump,38.913662
glaub,37.98284
vitamin,37.314625
film,37.314625
